name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,68,192426,No Strings Attached,20RMokVwJ2wjQ0s8FOdOFC,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,0.071,0.908,0,0.0372,0,0.636,-4.672,0.0407,1.27e-06,0.873,165.071
Tearin' up My Heart - Radio Edit,594M0rqYMOo8BhMGEdoi5C,66,211000,'N Sync,0CADmCXbIx4F9m6TBwLtFd,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,0.0364,0.796,1,0.233,7,0.686,-4.447,0.0028,7.16e-06,0.915,110.054
U Remind Me,5MxkTS1ut2BBYzGt7UpsNn,36,267120,Pure... 2000s Party,13WlQvCxVKxRu0CIJmFWa0,Usher,23zg3TcAtWQy7J6upgbUnj,0.0767,0.747,1,0.271,6,0.628,-6.435,0.209,0.0,0.618,93.888
The Other Line,1TqigCj4RiunMXr6tLQoPO,0,209693,"Get Lost, Find Yourself",6VNffEFYvpEstncAxvpfIw,"Chunk! No, Captain Chunk!",03jrbNTeSKP9m161juhm0h,0.126,0.444,0,0.0758,1,0.388,-3.696,6.93e-05,0.497,0.94,167.042
Machines,1EQcTEDuJ0tJ0Zi4OKQx9c,55,269893,The Resistance: Rise Of The Runaways,2sqQGbM3HtIOVo1bXf4VlQ,Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,0.116,0.127,1,0.288,5,0.445,-5.618,0.000356,0.000131,0.94,130.081
Waiting For Love,6nsLzJfvp5OLd4mgqUJkpq,18,230613,Stories,5ttIIMPWCp2bvwsdAPcEXC,Avicii,1vCWHaC5f2uS3yhpwWbIA6,0.0501,0.581,0,0.142,6,0.577,-3.83,0.298,0.0,0.741,128.081
Stay The Night - Featuring Hayley Williams Of Paramore,1o4XQ7tYJrDxgEpJufbOI8,5,217346,Clarity (Deluxe),67eRmjbirEIXE81uhfGjNl,Zedd,2qxJFvFYMEDqd7ui6kSAcq,0.0406,0.506,1,0.0931,8,0.595,-3.115,0.116,0.0,0.736,127.956
Feeling Good,7oDjaRDdf9zNQ8N3yRjQwF,10,228938,Feeling Good,61PsRCFu5HEOfH2Dv52PNv,Avicii,1vCWHaC5f2uS3yhpwWbIA6,0.0397,0.0992,0,0.112,11,0.394,-5.489,0.318,0.0,0.581,100.092
Throw Sum Mo,2tQbd2hT4NHhFJZLE8Nisa,2,260453,SremmLife,4ZmCBqmAmzZaw6AKnlXqQI,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,0.162,0.575,0,0.103,6,0.853,-8.013,0.0367,0.000208,0.639,142.048
Elastic Heart,6kwAbEjseqBob48jCus7Sz,73,257200,1000 Forms Of Fear,3xFSl9lIRaYXIYkIn3OIl9,Sia,5WUlDfRSoLAfcVSX1WnrxN,0.0496,0.499,1,0.146,9,0.421,-4.998,0.0117,1.48e-05,0.791,130.075
Lean On (feat. MØ & DJ Snake),4WjH9Bzt3kx7z8kl0awxh4,14,176561,Peace Is The Mission,2XBnxKeRZi76u2iyGcMych,Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.0625,0.274,0,0.565,7,0.723,-3.081,0.00346,0.00123,0.809,98.007
Powerful (feat. Ellie Goulding & Tarrus Riley),4oyWrvyORD6uCSYCLSRF6W,5,206327,Peace Is The Mission,2XBnxKeRZi76u2iyGcMych,Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.0478,0.732,0,0.158,11,0.598,-4.043,0.121,0.0,0.792,97.479
Watch Out For This (Bumaye),7r15j439zkGhA3KRksbwuv,3,269146,Free the Universe (Extended Version),5T97jBfFJ0lkrGmc1TZ6Xp,Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.147,0.88,0,0.0613,10,0.819,-4.115,0.0196,6.53e-06,0.759,108.026
Get Free,42xDAj5qNVFcxciJP3hSJd,4,289973,Free the Universe (Extended Version),5T97jBfFJ0lkrGmc1TZ6Xp,Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.0454,0.767,0,0.131,11,0.612,-6.971,0.103,0.124,0.657,87.94
Be Together (feat. Wild Belle),4fykY5EpYRavu87absOh1f,2,233010,Peace Is The Mission,2XBnxKeRZi76u2iyGcMych,Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.0319,0.193,0,0.619,6,0.497,-6.141,0.00142,0.0,0.627,79.93
What Do You Mean?,1ds2QsfhAAfRiaFMGDzrdb,11,207546,What Do You Mean?,2hL8vuRtlo75Wr9PyZI5Jb,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.105,0.782,0,0.0912,5,0.842,-8.042,0.617,0.00024,0.564,124.984
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,85,281560,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.0295,0.591,1,0.184,2,0.781,-6.061,0.474,0.0,0.445,78.998
I See Fire,5pY3ovFxbvAg7reGZjJQSp,25,299146,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.0349,0.297,1,0.252,6,0.641,-11.692,0.638,5.14e-06,0.176,76.031
Can't Feel My Face,6RsWqX8zABZLhZydXxEFOm,20,213520,Beauty Behind The Madness,28ZKQMoNBB0etKXZ97G2SN,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.0482,0.593,0,0.103,9,0.702,-5.416,0.124,0.0,0.77,107.951
The Hills,25khomWgBVamSdKw7hzm3l,15,242253,Beauty Behind The Madness,28ZKQMoNBB0etKXZ97G2SN,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.0798,0.109,0,0.137,0,0.356,-7.011,0.0861,0.0,0.567,135.553
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",4WGyY671Z37inSpCTBJoIm,16,252226,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",28ar4s0wTogBoh3hcMGfzQ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.0314,0.432,0,0.0954,2,0.66,-6.025,0.417,0.0,0.372,119.946
Drag Me Down,70OTIpw8x8UXUsuCHW9i1i,70,192106,Drag Me Down,7LnU0hAOYe9aq91PCKMI7A,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,0.0378,0.606,0,0.0528,0,0.723,-5.576,0.0997,0.0,0.711,138.098
