,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
40,Songbook,1iygnpMlnC5R3HtPJ6dIF3,Kenny Garrett,0Vz0vgVrclNJlHBLrgjklY,316693,7tHX5FHFc8XXgKU4uDcQvN,2 Down & 1 Across,22,0.28,0.483,0.695,0.537,1,0.11,-9.939,1,0.0824,130.764,0.506
41,Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,160760,70SjyVMzhmMeJQD8hOmIBp,Put Me Thru,57,0.0459,0.732,0.789,3.11e-05,5,0.123,-3.717,0,0.0476,107.978,0.607
42,We Like It Here,4GzjQ0xXRlLl78ih481BUi,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,402266,1MglqgabKH4iSkw8xHJ0J9,What About Me?,47,0.0285,0.386,0.917,0.897,11,0.878,-8.089,0,0.103,127.315,0.568
43,Real / Surreal,5WIOk36tjSJ5YBYNB6gvlu,Scalene,4PTd1rpXV7XDffOuLY7M0z,224151,3stCwD5L683yq5AfdxxXHC,Surreal,0,0.0603,0.319,0.784,0.0016,8,0.125,-6.356,1,0.046,151.748,0.101
44,Mr. Wonderful,7ijgeLAW3W3vZ9jf6tozFq,Action Bronson,7BMccF0hQFBpP6417k1OtQ,280160,7gDwRzJhLs0fFHaGtMDJVM,Baby Blue (feat. Chance the Rapper),64,0.247,0.828,0.487,1.86e-05,6,0.136,-6.142,0,0.0343,85.027,0.761
45,Mr. Wonderful,7ijgeLAW3W3vZ9jf6tozFq,Action Bronson,7BMccF0hQFBpP6417k1OtQ,239466,3clX2NMmjaAHmBjeTSa9vV,Actin Crazy,55,0.197,0.5,0.622,0.0,1,0.116,-7.282,1,0.619,165.503,0.252
46,Mr. Wonderful,7ijgeLAW3W3vZ9jf6tozFq,Action Bronson,7BMccF0hQFBpP6417k1OtQ,259301,4AH8GJVosfrbfhe5NVTAnx,Easy Rider,53,0.0339,0.422,0.851,0.0,11,0.152,-4.031,1,0.0398,93.649,0.667
47,Madvillainy,01FCoGEQ3NFWF4fHJzdiax,Madvillain,2aoFQUeHD1U7pL098lRsDU,150520,1P3eYnB5KiF4S2qZ7iQnOP,Raid,46,0.715,0.419,0.871,0.0,11,0.211,-6.432,0,0.468,201.496,0.578
48,groundUP,5py2d8sI1aB6wcCxXU7uKE,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,542013,0iJeENttrA8iKssJMIbXkK,Young Stuff,32,0.131,0.412,0.49,0.896,5,0.668,-10.754,0,0.045,95.001,0.389
49,We Like It Here,4GzjQ0xXRlLl78ih481BUi,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,405306,2Jim49nxjnjcTdyCJO4mr6,Outlier,41,0.0176,0.501,0.772,0.821,8,0.7,-9.7,1,0.085,134.912,0.48
50,groundUP,5py2d8sI1aB6wcCxXU7uKE,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,578106,49wGUI3kMeuHv0DhkgKlqt,Binky,40,0.0219,0.534,0.639,0.51,6,0.691,-8.948,0,0.0543,128.614,0.36
51,We Like It Here,4GzjQ0xXRlLl78ih481BUi,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,411573,41fiRrzEqGo4pTVqXYrfnz,Sleeper,44,0.0653,0.476,0.719,0.178,5,0.701,-9.451,0,0.091,149.902,0.3
52,We Like It Here,4GzjQ0xXRlLl78ih481BUi,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,393053,1BWsQm7kOBjK2aSFYg5HQZ,Shofukan,49,0.0642,0.426,0.754,0.765,4,0.701,-9.125,0,0.074,167.42,0.228
53,We Like It Here,4GzjQ0xXRlLl78ih481BUi,Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,645720,68d6ZfyMUYURol2y15Ta2Y,Lingus,49,0.147,0.457,0.776,0.676,9,0.689,-10.238,0,0.142,129.896,0.476
54,Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,253520,1UjyF6okUHhnVxaLV8ojsA,Am I Wrong,62,0.0588,0.729,0.799,0.00218,11,0.0948,-7.378,0,0.0779,115.04,0.532
55,Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,217773,7pamxApUs3CE8t7tKmUJ6Z,The Bird,59,0.0838,0.488,0.645,0.000355,11,0.154,-7.226,1,0.421,148.733,0.595
56,Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,312360,25GlFJq5QNAXyVgJvCZ4Mf,Heart Don't Stand a Chance,60,0.173,0.685,0.545,1.44e-05,7,0.237,-6.189,1,0.061,94.061,0.506
57,untitled unmastered.,5WSPnYTQ6YZ1UvBRi5quhO,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,338426,5N1BkOJ1CTHbSC1RZ6LFJu,untitled 05 09.21.2014.,2,0.351,0.485,0.626,0.0,0,0.166,-9.841,1,0.525,153.967,0.419
58,"And After That, We Didn't Talk",3tlDQco8P9HFoR5CRC1BCj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,161080,60ZZNXIdwgUGkVGRt7foLT,Late Night,59,0.278,0.442,0.446,0.0,9,0.308,-11.354,0,0.786,51.539,0.295
59,"And After That, We Didn't Talk",3tlDQco8P9HFoR5CRC1BCj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,186066,6Yh1OsdY5IMeUHPMplkQj2,Dance On Me,46,0.0412,0.724,0.704,0.0,1,0.107,-8.797,1,0.247,135.027,0.497
60,untitled unmastered.,5WSPnYTQ6YZ1UvBRi5quhO,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,235506,1OChTe0OBYR1OQSFIdoWq9,untitled 08 09.06.2014.,4,0.245,0.845,0.527,1.89e-06,11,0.139,-9.572,0,0.204,119.991,0.67
61,untitled unmastered.,5WSPnYTQ6YZ1UvBRi5quhO,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,154346,5RGmEJmkPghFXU8ZD1ZB7L,untitled 03 05.28.2013.,3,0.581,0.829,0.545,0.0,1,0.15,-12.464,1,0.233,104.023,0.549
62,Animal,30zUJnxrRpZm4Cic4cneVB,Neon Trees,0RpddSzUHfncUWNJXKOsjy,212400,3LbXPKUPANdLSxENkV0i2f,Animal,2,0.000282,0.482,0.841,0.0,5,0.376,-5.484,1,0.0438,148.024,0.744
63,Cream On Chrome,3RGtHyDiOrog7uzkhPYa4I,Ratatat,57dN52uHvrHOxijzpIgu3E,235362,34v7Zs9a64h1xC3PWrmypP,Cream On Chrome,51,0.0275,0.79,0.692,0.369,7,0.528,-4.704,0,0.0532,100.264,0.82
64,America Give Up,1YPOC8uC8KUG0jspZm6kQ2,Howler,7nERL8M0rrFRnMuC2vbsUg,222573,1YM7fNEGrM1QSuRFHmIdQG,Back of Your Neck,31,0.314,0.553,0.936,0.0126,11,0.105,-2.93,1,0.28,166.852,0.223
65,Magnifique,4Lp4NxL8v03Mxg3hbAgW1Z,Ratatat,57dN52uHvrHOxijzpIgu3E,256808,2zlOCBcS1CCIUkgpz78ahY,Abrasive,41,0.238,0.577,0.731,0.884,7,0.288,-7.028,0,0.0313,138.251,0.308
66,Mona,48xRWWQZ6nUJQ67kxnviQm,Mona,4AKwIU9B31J3L41DuJfFym,205786,3tvhWi9FFi3UMBpviIMdlA,Shooting The Moon,0,0.000978,0.388,0.896,0.0,4,0.154,-3.663,0,0.0586,81.414,0.318
67,Holy Fire,0PIR7PK8DMB4pgoxq7F9Ad,Foals,6FQqZYVfTNQ1pCqfkwVFEa,292546,3tRqWoZuQtOfG54Vd6nNdq,Inhaler,54,0.0036,0.536,0.73,0.668,2,0.183,-7.606,0,0.0427,97.206,0.438
68,Tourist History (Deluxe),6kKIwUDSf7GV3kdU041ZHM,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,214293,31OaV0P9FVy0l0ITDoEoIa,Cigarettes in the Theatre,34,9.17e-05,0.452,0.882,0.156,0,0.115,-5.154,1,0.24,168.994,0.612
69,Bruiser,7vVn9Lw8LOpe2Ec4tOucbB,The Duke Spirit,5lModM3s3qlPQKYjtwWuXD,197520,1ZoDy49goOkZH0F327cmoY,Surrender,22,0.00417,0.193,0.882,7.82e-06,11,0.254,-3.835,0,0.0894,160.037,0.199
