,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
109,0.0028,0.742,0.717,1U02DqSA9WIY26OM8kJQld,0.0,9,0.0935,-6.198,1,0.033,88.491,0.793
110,0.0619,0.552,0.91,1meBa5tqPt20uEGPpUZ42p,0.0,5,0.118,-5.812,0,0.174,119.935,0.635
111,0.0364,0.608,0.87,1wQg0ZAJDEJb1lVioDzI1c,0.0,1,0.318,-5.016,1,0.0591,157.976,0.916
112,0.00288,0.365,0.686,71iogkuXi7nAfFbqMGDTri,0.0,0,0.0926,-6.127,1,0.0272,184.083,0.331
113,0.278,0.567,0.732,1nrXASsctukBTO5Slsb5Dk,0.0,10,0.0851,-3.872,1,0.0356,80.084,0.519
114,0.00107,0.533,0.739,1yjoYVyZPEg4KFigY56ExT,0.0,0,0.094,-6.395,1,0.0341,126.903,0.518
115,0.124,0.646,0.384,6Zv4HVHfadVo3JQSSbwY7r,0.0119,6,0.112,-10.214,1,0.0287,128.009,0.24
116,0.363,0.664,0.725,0lPWEt7kSY37pSUIH68ME0,1.39e-06,9,0.272,-6.179,0,0.0897,96.348,0.659
117,0.0144,0.355,0.702,5BAHIRmulZCSoOzZdKbiAA,0.0,4,0.144,-3.843,1,0.0317,168.018,0.556
118,0.000304,0.468,0.589,64BqzG127TS1nDPbiLzyhn,0.0,0,0.126,-8.127,1,0.0275,134.06,0.448
119,0.00925,0.548,0.835,2zOdlXI7Y5HR4oFhNULn2N,0.0,5,0.117,-5.789,1,0.0395,136.051,0.238
120,0.194,0.64,0.659,4ZBxAQzSqxf09s3ef1KBf7,0.0,7,0.167,-8.448,1,0.0385,127.078,0.382
121,0.434,0.538,0.766,4T2m7LXUXw4KfzCfCQj8YV,1.64e-05,5,0.101,-5.662,0,0.0339,102.107,0.652
122,0.0013,0.342,0.677,5sTVykpRs4eiZKn96bZogj,0.00671,5,0.201,-11.906,0,0.0568,188.6,0.501
123,0.0124,0.645,0.72,5l3Wg9WULBwif7Bfv2LgcU,1.18e-06,8,0.502,-6.032,1,0.0399,92.799,0.79
124,0.0295,0.38,0.908,6p4jnIWFWyLz0zUo2RD9iu,0.0,2,0.101,-6.425,0,0.193,97.613,0.0974
125,5.8e-06,0.374,0.739,3SizB9Beb0HZHww3PjoXbQ,0.000141,7,0.109,-5.193,0,0.0477,148.078,0.359
126,0.00208,0.625,0.858,6txrOdeV4I2vaE0m865VBU,8.94e-05,11,0.136,-4.341,0,0.033,134.014,0.719
127,0.000105,0.386,0.949,6MVhQjz1SNN8IDTBlZwvwG,0.0,8,0.132,-3.701,0,0.0486,105.219,0.55
128,0.00249,0.4,0.914,0bEwPQwwgFyCvsqLkVOWhh,2.21e-05,4,0.129,-4.497,1,0.0441,139.592,0.692
129,0.0411,0.568,0.835,6QfnvcOKsdN4Q6exUWVuzn,0.0,8,0.357,-6.896,0,0.0687,170.045,0.625
130,0.00131,0.362,0.945,1UVffD20CfHJ2wD0x0as8L,2.51e-05,10,0.154,-2.651,0,0.0575,114.797,0.487
131,0.0142,0.356,0.96,5dTHtzHFPyi8TlTtzoz1J9,0.0,4,0.209,-3.487,1,0.104,125.921,0.0857
132,0.000665,0.545,0.932,4wzjNqjKAKDU82e8uMhzmr,0.0,7,0.127,-2.189,0,0.0399,92.956,0.465
133,2.3e-05,0.239,0.941,0C71NJD4BhvPopTwI7a8KV,2.38e-06,2,0.327,-4.535,0,0.0967,81.844,0.223
134,0.00982,0.425,0.91,3fttmSWGThBQTNkuHMoCTN,4.05e-05,8,0.2,-4.369,0,0.0388,121.585,0.693
135,0.00177,0.491,0.87,2y8VWxzuw49UaIc4F5QIQk,0.0,2,0.517,-5.31,1,0.136,163.268,0.532
136,9.83e-05,0.412,0.823,5U2p81vdlp2saDTIvk0Lnb,8.15e-05,4,0.153,-2.572,0,0.0323,154.117,0.162
137,0.000174,0.264,0.964,5quv9YDjbVlXddPEk08N0H,0.0038,5,0.194,-5.433,1,0.0867,140.202,0.306
138,0.00941,0.553,0.837,48O6kz322Dzu1R6Al5147q,0.0,6,0.372,-5.608,1,0.0452,140.495,0.432
139,9.2e-05,0.519,0.868,0arNrzPygksLY2pEbRgBjw,0.000901,5,0.0881,-4.037,0,0.0761,174.73,0.72
140,4.1e-05,0.4,0.907,4pBfU4RSvH0NzjEr2OgjWn,0.000472,5,0.151,-4.956,1,0.101,162.626,0.413
141,0.00171,0.419,0.932,47IWLfIKOKhFnz1FUEUIkE,0.0,1,0.137,-3.604,0,0.106,169.881,0.445
142,0.0328,0.517,0.79,1EotcFbWTbMCXeKFVEtX6Y,0.0,8,0.084,-3.334,1,0.0323,85.983,0.357
143,0.000472,0.412,0.947,5W68YeADvFGOegS3TmP7w8,0.00771,7,0.3,-4.827,1,0.0726,165.836,0.754
144,0.124,0.63,0.772,6Wuv7MrhesuDsuGv8vcrOd,0.000432,2,0.116,-8.366,0,0.0251,128.133,0.717
145,0.133,0.411,0.702,3Nnm4EROP8wEnMpcmapvLR,0.0,1,0.0973,-4.702,1,0.0334,178.493,0.407
146,0.00022,0.632,0.909,0dgwSbMu48medMyy3DsAlG,2.41e-06,1,0.173,-4.511,1,0.0431,108.072,0.75
147,8.57e-06,0.169,0.932,2D2c0EGEs36su8hfpCbFJH,0.709,9,0.31,-5.815,0,0.127,177.424,0.198
148,0.019,0.392,0.964,4Tifx0X1LAac90lmipFHxN,0.0,0,0.58,-3.363,0,0.0936,168.018,0.254
149,0.00147,0.378,0.846,6Ous3W4YQyJIXmDq4CyHya,0.0,8,0.0905,-3.187,1,0.0417,180.27,0.387
150,0.000214,0.363,0.876,7COIj4Medd3uKoLDX6onGN,0.00361,1,0.196,-4.511,1,0.0538,131.209,0.443
151,0.0171,0.436,0.819,51R5mPcJjOnfv9lKY1u5sW,0.00882,0,0.117,-6.71,1,0.036,144.26,0.405
152,0.39,0.534,0.792,6uzuW7L1t1UhnzbfXwtMtQ,0.0,5,0.191,-4.512,1,0.0677,145.881,0.477
153,0.000813,0.497,0.902,5yUWpANiH2Vw9v6t6FahUt,0.0,8,0.068,-4.43,0,0.0638,151.024,0.656
154,0.0014,0.21,0.964,3YmZMBb5wC0if8h0RkjBrC,1.62e-06,6,0.078,-4.272,1,0.243,175.89,0.362
155,0.0108,0.528,0.861,5LV0oQV98daZAUoWnQEW6N,0.0,2,0.268,-4.309,1,0.0518,95.02,0.591
156,0.0886,0.483,0.891,48VDUNpwQG7nGzRTG3CVw8,0.0,11,0.0849,-4.537,0,0.0666,86.009,0.593
157,0.000717,0.438,0.895,1sYloFVfC8uhNEGo8IM4Ug,2.02e-05,7,0.376,-5.277,1,0.0463,164.305,0.468
