id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
3stCwD5L683yq5AfdxxXHC,0.046,0.101,1,0.125,8,0.319,-6.356,0.0603,0.0016,0.784,151.748
7gDwRzJhLs0fFHaGtMDJVM,0.0343,0.761,0,0.136,6,0.828,-6.142,0.247,1.86e-05,0.487,85.027
3clX2NMmjaAHmBjeTSa9vV,0.619,0.252,1,0.116,1,0.5,-7.282,0.197,0,0.622,165.503
4AH8GJVosfrbfhe5NVTAnx,0.0398,0.667,1,0.152,11,0.422,-4.031,0.0339,0,0.851,93.649
1P3eYnB5KiF4S2qZ7iQnOP,0.468,0.578,0,0.211,11,0.419,-6.432,0.715,0,0.871,201.496
0iJeENttrA8iKssJMIbXkK,0.045,0.389,0,0.668,5,0.412,-10.754,0.131,0.896,0.49,95.001
2Jim49nxjnjcTdyCJO4mr6,0.085,0.48,1,0.7,8,0.501,-9.7,0.0176,0.821,0.772,134.912
49wGUI3kMeuHv0DhkgKlqt,0.0543,0.36,0,0.691,6,0.534,-8.948,0.0219,0.51,0.639,128.614
41fiRrzEqGo4pTVqXYrfnz,0.091,0.3,0,0.701,5,0.476,-9.451,0.0653,0.178,0.719,149.902
1BWsQm7kOBjK2aSFYg5HQZ,0.074,0.228,0,0.701,4,0.426,-9.125,0.0642,0.765,0.754,167.42
68d6ZfyMUYURol2y15Ta2Y,0.142,0.476,0,0.689,9,0.457,-10.238,0.147,0.676,0.776,129.896
1UjyF6okUHhnVxaLV8ojsA,0.0779,0.532,0,0.0948,11,0.729,-7.378,0.0588,0.00218,0.799,115.04
7pamxApUs3CE8t7tKmUJ6Z,0.421,0.595,1,0.154,11,0.488,-7.226,0.0838,0.000355,0.645,148.733
25GlFJq5QNAXyVgJvCZ4Mf,0.061,0.506,1,0.237,7,0.685,-6.189,0.173,1.44e-05,0.545,94.061
5N1BkOJ1CTHbSC1RZ6LFJu,0.525,0.419,1,0.166,0,0.485,-9.841,0.351,0,0.626,153.967
60ZZNXIdwgUGkVGRt7foLT,0.786,0.295,0,0.308,9,0.442,-11.354,0.278,0,0.446,51.539
6Yh1OsdY5IMeUHPMplkQj2,0.247,0.497,1,0.107,1,0.724,-8.797,0.0412,0,0.704,135.027
1OChTe0OBYR1OQSFIdoWq9,0.204,0.67,0,0.139,11,0.845,-9.572,0.245,1.89e-06,0.527,119.991
5RGmEJmkPghFXU8ZD1ZB7L,0.233,0.549,1,0.15,1,0.829,-12.464,0.581,0,0.545,104.023
3LbXPKUPANdLSxENkV0i2f,0.0438,0.744,1,0.376,5,0.482,-5.484,0.000282,0,0.841,148.024
34v7Zs9a64h1xC3PWrmypP,0.0532,0.82,0,0.528,7,0.79,-4.704,0.0275,0.369,0.692,100.264
1YM7fNEGrM1QSuRFHmIdQG,0.28,0.223,1,0.105,11,0.553,-2.93,0.314,0.0126,0.936,166.852
2zlOCBcS1CCIUkgpz78ahY,0.0313,0.308,0,0.288,7,0.577,-7.028,0.238,0.884,0.731,138.251
3tvhWi9FFi3UMBpviIMdlA,0.0586,0.318,0,0.154,4,0.388,-3.663,0.000978,0,0.896,81.414
3tRqWoZuQtOfG54Vd6nNdq,0.0427,0.438,0,0.183,2,0.536,-7.606,0.0036,0.668,0.73,97.206
31OaV0P9FVy0l0ITDoEoIa,0.24,0.612,1,0.115,0,0.452,-5.154,9.17e-05,0.156,0.882,168.994
1ZoDy49goOkZH0F327cmoY,0.0894,0.199,0,0.254,11,0.193,-3.835,0.00417,7.82e-06,0.882,160.037
14HIx1zYQLez1NxN9aeRkg,0.0318,0.718,1,0.138,1,0.487,-4.548,0.0755,0,0.878,158.104
1H1oxYhlfYLmed6dHn03Kk,0.0666,0.334,0,0.108,11,0.322,-4.65,0.000438,0,0.894,146.683
6axAacuCsPeAStu4a2XZA0,0.0461,0.243,1,0.117,4,0.633,-5.053,0.0401,0.693,0.831,127.397
0dcJ1SsbTmAvC3ZVvUYMIy,0.0578,0.39,1,0.47,5,0.447,-6.741,0.00114,0.00596,0.9,135.861
2wg09UvwEDh5zOz08DNbAZ,0.0794,0.109,1,0.576,7,0.202,-3.96,0.000466,0.0235,0.972,165.043
1FIWe0EWWE6D8soz2ZsMuM,0.0469,0.382,1,0.2,2,0.418,-4.089,0.00119,6.48e-05,0.824,143.983
1c6dAF03e2zI4IbH9IE7cN,0.0373,0.553,1,0.362,9,0.473,-2.265,0.00222,0.429,0.698,132.982
3UD4sghkq8dHUwvKxln1nB,0.039,0.913,0,0.335,7,0.638,-5.464,0.00803,1.59e-06,0.709,143.984
