id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
60WcXjimfbhk6T0gj1Eufg,0.207,0.435,1,0.123,9,0.802,-4.781,0.14,0,0.785,99.998
6mZcNu9i8uhOYMiEAyEx81,0.251,0.637,0,0.0332,4,0.862,-7.401,0.0455,0,0.648,98.012
01VGA34ATxwp0Xo1ldduo2,0.115,0.325,1,0.171,8,0.652,-8.673,0.855,0,0.455,83.151
7ncDwhSTgCZuL3OZNkvZ97,0.174,0.327,0,0.103,10,0.709,-7.394,0.0334,1.7e-06,0.687,138.046
5u89YD9CJMFVfFqUoeGy2P,0.311,0.31,1,0.164,8,0.365,-6.957,0.291,0.00037,0.655,171.333
20wR5XQpaL1uvVY8gmc4uY,0.0658,0.589,1,0.521,2,0.768,-7.399,0.139,0,0.62,132.035
7nWxZ1OWN4gtVH1mplNRxV,0.415,0.316,0,0.0907,3,0.42,-7.113,0.516,0,0.726,76.585
6yIjZliWeKDstbA70wYwm0,0.254,0.232,0,0.0964,11,0.553,-10.602,0.66,0.00102,0.523,96.113
63PJEtaDQNx3BfJTqEY39c,0.0659,0.0485,1,0.258,2,0.436,-15.099,0.759,0.115,0.21,139.744
2rAtKDT2787d8drfCuoNfY,0.113,0.048,1,0.114,2,0.476,-15.176,0.774,0.00347,0.195,64.639
6Czb2BTCg2CMjbKFYNGTap,0.0805,0.179,0,0.294,10,0.391,-11.002,0.475,0,0.403,74.657
7iL6o9tox1zgHpKUfh9vuC,0.366,0.777,0,0.0708,6,0.899,-2.752,0.255,0,0.713,90.051
4Jp4T5gbCLQzGz545Jb3NY,0.289,0.501,1,0.0696,11,0.66,-1.768,0.0297,0,0.911,87.311
6mcu7D7QuABVwUGDwovOEh,0.277,0.856,0,0.024,11,0.886,-2.528,0.265,0,0.626,93.989
20D61egfxKE9pp3Ffx99Xz,0.24,0.713,0,0.869,5,0.427,-6.474,0.0778,0.184,0.879,93.347
68d6ZfyMUYURol2y15Ta2Y,0.142,0.476,0,0.689,9,0.457,-10.238,0.147,0.676,0.776,129.896
14NEfQx2TKjP3sPO2MaxJI,0.0808,0.429,1,0.0754,8,0.423,-9.982,0.00605,0.835,0.748,104.054
3rFzc8CLVDZ7OOtFa2jPYP,0.0497,0.583,0,0.11,5,0.488,-10.316,0.438,0.000279,0.476,110.951
