uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:6AaoEX192rJ6o3UFwG43sV,0.0812,0.839,0,0.0637,0,0.918,0.04,0.0192,3.36e-06,0.907,132.076
spotify:track:5kXgLlxHMv3aP7xLxMrjiV,0.0729,0.541,1,0.367,4,0.555,-4.947,0.334,0,0.81,106.983
spotify:track:1LTxGBL6yKtfmW3K8EvbSY,0.0593,0.758,1,0.064,6,0.825,-5.169,0.601,0.00105,0.83,129.911
spotify:track:7vLG0D8ouHd4brF5TVJQya,0.0887,0.819,0,0.945,4,0.701,-2.974,0.419,0,0.957,129.05
spotify:track:6cbZb9mVAc5s8HtwklLoI0,0.0854,0.937,0,0.0488,6,0.867,-3.578,0.0814,0,0.862,130.062
spotify:track:3iDY4SzUHPkC3WTXpfxXJG,0.0455,0.128,1,0.127,1,0.803,-5.136,0.0683,0,0.657,130.013
spotify:track:3LO1I8lQSsXD6gVdU9KZA1,0.0713,0.964,1,0.193,1,0.662,-2.579,0.273,6.39e-06,0.907,173.088
spotify:track:6UZJOc2HBrTp9DYfir9N8n,0.122,0.819,0,0.331,1,0.673,-3.108,0.0613,0,0.877,137.937
spotify:track:0EWHrkZdudEcE75h8yT1Vy,0.0564,0.718,1,0.0858,7,0.837,-3.317,0.0357,2.47e-06,0.881,128.0
spotify:track:6S8yTw0KfidwuAq5Y6Bygj,0.0535,0.607,1,0.849,8,0.707,-3.527,0.557,0,0.849,125.982
spotify:track:0kCwhppsMGq8ClJ9CsqlOZ,0.0514,0.898,0,0.0485,10,0.815,-2.79,0.467,0,0.904,102.985
spotify:track:18Hpu6qL6QtWVoWPyFaL2X,0.0661,0.809,1,0.956,8,0.485,-3.831,0.109,0,0.907,163.865
spotify:track:2lygNKyeKoRacXTvUOMhdQ,0.0495,0.92,0,0.051,4,0.809,-3.653,0.433,0,0.762,160.036
spotify:track:1lWbQ3hbMct7DMhKKQucXx,0.0306,0.56,1,0.11,5,0.614,-7.497,0.768,0,0.573,148.157
spotify:track:2lLOaRPi8yQxQ8BlFZBLOl,0.0303,0.51,1,0.24,0,0.581,-5.47,0.271,0,0.639,95.891
spotify:track:0k93MXOj0kSXo84SvSDeUz,0.0455,0.566,0,0.135,8,0.689,-5.027,0.00714,0.000499,0.711,115.048
spotify:track:5fknWuGb2l1ttkkssGKSFA,0.0675,0.867,0,0.098,10,0.824,-5.613,0.0539,0.00192,0.833,101.975
spotify:track:1J0iYsJuVhqfDhBoSLuO9A,0.0398,0.922,0,0.0846,11,0.689,-4.34,0.505,0,0.713,155.04
spotify:track:4BcWcZoludxrNoPUw5napp,0.0482,0.962,1,0.0751,0,0.717,-2.638,0.119,0,0.918,153.983
spotify:track:05rJdH2MRLJ3sQoEUO78qs,0.0887,0.869,0,0.0702,11,0.695,-5.041,0.0117,0.191,0.775,180.054
spotify:track:3ibRxEv4KkcU9e259eyNJA,0.0715,0.637,0,0.101,9,0.789,-4.612,0.00812,0.000348,0.767,99.957
spotify:track:7l4DyFrK2CpW9Fdpzaio8r,0.0602,0.726,1,0.663,7,0.701,-6.808,0.0472,8.69e-06,0.808,127.984
spotify:track:2wc8HF4fqX4oPBuZnadO8t,0.174,0.789,1,0.301,11,0.625,-4.36,0.141,0,0.699,129.844
spotify:track:74zcP8kHeCv6OVcq40rRWQ,0.12,0.821,0,0.246,1,0.54,-2.307,0.338,0,0.94,164.129
spotify:track:5n860q8o944h0Z75igLpT7,0.0929,0.902,0,0.311,7,0.696,-3.983,0.259,0,0.869,152.12
spotify:track:0UEP4zRu8nOZ9wopxJLXVO,0.174,0.734,1,0.0641,6,0.917,-5.741,0.31,0,0.723,129.884
spotify:track:5yraOKvNuFWP4waSl6ey8Q,0.228,0.831,0,0.154,6,0.93,-11.435,0.66,0.00053,0.555,138.03
spotify:track:3RGD7XrylI7oeDap2WoQJC,0.0641,0.832,0,0.412,9,0.855,-11.355,0.44,0,0.641,119.907
spotify:track:59HDG5x0ilgU83dr2w9ydq,0.102,0.92,0,0.136,7,0.757,-12.331,0.497,0,0.658,130.026
spotify:track:7lQqaqZu0vjxzpdATOIsDt,0.28,0.475,1,0.134,7,0.68,-7.021,0.159,2.35e-06,0.594,186.04
spotify:track:12VWzyPDBCc8fqeWCAfNwR,0.0522,0.382,1,0.351,1,0.785,-5.871,0.00902,0.00246,0.617,103.981
spotify:track:0azC730Exh71aQlOt9Zj3y,0.0331,0.465,0,0.148,9,0.63,-2.787,0.199,0.124,0.928,123.963
spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.226,0.681,0,0.0715,2,0.646,-6.596,0.00249,0,0.77,99.165
