album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Pick It Up (feat. A$AP Rocky),4NaE34wj8KRWoxRmgbr915,Famous Dex,0WOxhx4hikIsyF3CRPLC8W,191251,3ncgNpxLoBQ65ABk4djDyd,PICK IT UP (feat. A$AP Rocky),74,0.0149,0.921,0.467,0.000238,1,0.334,-8.443,1,0.119,135.995,0.287
Taste (feat. Offset),0yd01cU78rnlFXq6vRxPSR,Tyga,5LHRHt1k9lMyONurDHEdrp,232959,5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),84,0.0236,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,0.342
"Passion, Pain & Demon Slayin'",7xQWIu8k69Hp09HQkULi3P,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,262546,4Y5eQf6F8XUK3PLooHyUQm,Does It,0,0.208,0.67,0.655,0.000294,9,0.208,-9.401,0,0.135,119.967,0.286
More Life,7Ix0FS4f1lK42C3rix5rHg,Drake,3TVXtAsR1Inumwj472S9r4,149568,3GIlkmoqNZ3FC406hjYWOj,No Long Talk,3,0.0671,0.913,0.608,0.0,10,0.533,-6.839,0,0.234,97.063,0.578
Drinks On Us,51ViFIRaIoO6YxQgfCam8f,Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,311163,7qztzeFB9VU7OTek4lj38f,Drinks On Us,0,0.371,0.776,0.628,0.000104,10,0.102,-6.553,0,0.284,128.948,0.48
Ransom 2,5qYNSJkYIbYL1IWsnQtBFK,Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,235885,2D68ESzWucbATnxeOrVqIA,On The Come Up (feat. Big Sean),0,0.0412,0.49,0.642,0.0,8,0.666,-6.29,1,0.289,110.131,0.506
I Decided.,40cDsJwMgOO5yFI7XQKm8U,Big Sean,0c173mlxpT3dSFRgMO8XPh,142906,358uP4VwX0XYKji2IW19zi,Moves,2,0.0563,0.803,0.524,0.0,2,0.174,-6.245,1,0.277,75.531,0.349
The Beautiful & Damned,1VAc77UvK5wj8ZSWCo3V2b,G-Eazy,02kJSzxNuaWGqwubyUba0Z,189306,2WWruw7ul9N7eqoHELyMc2,The Beautiful & Damned,64,0.173,0.656,0.804,0.0,8,0.837,-5.191,0,0.363,125.882,0.314
MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,213593,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,87,0.149,0.837,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,0.463
More Life,7Ix0FS4f1lK42C3rix5rHg,Drake,3TVXtAsR1Inumwj472S9r4,189229,2ExePm1EBdSJkr4Y4Nc50z,Gyalchester,5,0.0317,0.877,0.391,0.000502,1,0.0945,-8.196,1,0.063,131.018,0.122
The Never Story,1gPqbxhs90kppgOVxGOPzd,JID,6U3ybJ9UHNKEdsH7ktGBZ7,241682,7hsulgRNgbyczeAg8tChCB,NEVER,68,0.0276,0.593,0.647,1.47e-05,1,0.0673,-7.49,1,0.313,103.951,0.23
LONG.LIVE.A$AP (Deluxe Version),1E1eyI5uGllppJZCxNoF9w,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,227080,6KM0MPPSPGjBlQgdwIeJLc,Angels,2,0.36,0.781,0.754,0.0,0,0.0867,-3.61,0,0.0894,120.521,0.519
Chi Chi,5rgC1DdlX93D75eHrDEUeD,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,161584,3fP3dmxTIK2DgzoqUDvoKJ,Chi Chi,38,0.236,0.913,0.459,0.00748,9,0.112,-12.38,1,0.3,100.975,0.192
The Conversation,0vTAcW49D6ry1p5kKOWThe,Chynna,41TSOINjztNAFtwuGenWVA,198939,420Ta8vWYCgXk7yqpLO53M,The Conversation,34,0.175,0.666,0.396,0.000544,1,0.126,-14.316,1,0.381,116.041,0.0773
The Art of Hustle (Deluxe),0s9cSoniuN0HfXpwlCpGUF,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,259072,5w1vhNA2OEWUQ371QzyMmM,Down In the DM (feat. Nicki Minaj) - Remix,58,0.00243,0.791,0.634,5.43e-05,1,0.0812,-7.684,0,0.0639,152.961,0.323
THat Part (Black Hippy Remix),0VZWhdLRtDPan52RfTHkp9,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,288525,5sqHFfmw7MMc1L85BN8802,THat Part - Black Hippy Remix,60,0.122,0.895,0.536,0.0,6,0.119,-8.588,0,0.329,112.892,0.296
"King's Dead (with Kendrick Lamar, Future & James Blake)",0xgbaoVF9zal8Z8qTDbuqT,Jay Rock,28ExwzUQsvgJooOI0X1mr3,229670,08qFPu7ksp9KrQJJPuFXxu,"King's Dead (with Kendrick Lamar, Future & James Blake)",5,0.000844,0.645,0.717,0.0,1,0.183,-5.056,1,0.293,137.136,0.383
